"municipio";"departamento";"codmpo"
"CONTADERO";"52";"210"
"CORDOBA";"52";"215"
"CUASPUD ( CARLOSAMA )";"52";"224"
"CUMBAL";"52";"227"
"CUMBITARA";"52";"233"
"CHACHAGUI";"52";"240"
"EL CHARCO";"52";"250"
"EL ROSARIO";"52";"256"
"EL TABLON";"52";"258"
"EL TAMBO";"52";"260"
"FUNES";"52";"287"
"GUACHUCAL";"52";"317"
"GUAITARILLA";"52";"320"
"GUALMATAN";"52";"323"
"ILES";"52";"352"
"IMUES";"52";"354"
"IPIALES";"52";"356"
"LA CRUZ";"52";"378"
"LA FLORIDA";"52";"381"
"LA LLANADA";"52";"385"
"LA TOLA";"52";"390"
"LA UNION";"52";"399"
"LEIVA";"52";"405"
"LINARES";"52";"411"
"LOS ANDES ( SOTOMAYOR )";"52";"418"
"MAGUI ( PAYÁN )";"52";"427"
"MALLAMA ( PIEDRANCHA )";"52";"435"
"MOSQUERA";"52";"473"
"OLAYA HERRERA ( BOCAS DE SATINGA )";"52";"490"
"OSPINA";"52";"506"
"FRANCISCO PIZARRO ( SALAHONDA )";"52";"520"
"POLICARPA";"52";"540"
"POTOSI";"52";"560"
"PROVIDENCIA";"52";"565"
"PUERRES";"52";"573"
"PUPIALES";"52";"585"
"RICAURTE";"52";"612"
"ROBERTO PAYAN ( SAN JOSÉ )";"52";"621"
"SAMANIEGO";"52";"678"
"SANDONA";"52";"683"
"SAN BERNARDO";"52";"685"
"SAN LORENZO";"52";"687"
"SAN PABLO";"52";"693"
"SAN PEDRO DE CARTAGO ( CARTAGO )";"52";"694"
"SANTA BARBARA ( ISCUANDE )";"52";"696"
"SANTACRUZ ( GUACHAVES )";"52";"699"
"SAPUYES";"52";"720"
"TAMINANGO";"52";"786"
"TANGUA";"52";"788"
"TUMACO";"52";"835"
"TUQUERRES";"52";"838"
"YACUANQUER";"52";"885"
"CUCUTA";"54";"001"
"ABREGO";"54";"003"
"ARBOLEDAS";"54";"051"
"BOCHALEMA";"54";"099"
"BUCARASICA";"54";"109"
"CACOTA";"54";"125"
"CACHIRA";"54";"128"
"VILLA CARO";"54";"871"
"VILLA DEL ROSARIO";"54";"874"
"ARMENIA";"63";"001"
"BUENAVISTA";"63";"111"
"CALARCA";"63";"130"
"CIRCASIA";"63";"190"
"CORDOBA";"63";"212"
"FILANDIA";"63";"272"
"GENOVA";"63";"302"
"LA TEBAIDA";"63";"401"
"MONTENEGRO";"63";"470"
"PIJAO";"63";"548"
"QUIMBAYA";"63";"594"
"SALENTO";"63";"690"
"PEREIRA";"66";"001"
"APIA";"66";"045"
"BALBOA";"66";"075"
"BELEN DE UMBRIA";"66";"088"
"DOS QUEBRADAS";"66";"170"
"GUATICA";"66";"318"
"LA CELIA";"66";"383"
"LA VIRGINIA";"66";"400"
"MARSELLA";"66";"440"
"MISTRATO";"66";"456"
"PUEBLO RICO";"66";"572"
"QUINCHIA";"66";"594"
"SANTA ROSA DE CABAL";"66";"682"
"SANTUARIO";"66";"687"
"BUCARAMANGA";"68";"001"
"AGUADA";"68";"013"
"ALBANIA";"68";"020"
"ARATOCA";"68";"051"
"BARBOSA";"68";"077"
"BARICHARA";"68";"079"
"BARRANCABERMEJA";"68";"081"
"BETULIA";"68";"092"
"BOLIVAR";"68";"101"
"CABRERA";"68";"121"
"CALIFORNIA";"68";"132"
"CAPITANEJO";"68";"147"
"CARCASI";"68";"152"
"CEPITA";"68";"160"
"CERRITO";"68";"162"
"CHARALA";"68";"167"
"CHARTA";"68";"169"
"ALVARADO";"73";"026"
"AMBALEMA";"73";"030"
"ANZOATEGUI";"73";"043"
"ARMERO (GUAYABAL)";"73";"055"
"ATACO";"73";"067"
"CAJAMARCA";"73";"124"
"CARMEN DE APICALA";"73";"148"
"CASABIANCA";"73";"152"
"CHAPARRAL";"73";"168"
"COELLO";"73";"200"
"COYAIMA";"73";"217"
"CUNDAY";"73";"226"
"DOLORES";"73";"236"
"ESPINAL";"73";"268"
"FALAN";"73";"270"
"FLANDES";"73";"275"
"FRESNO";"73";"283"
"GUAMO";"73";"319"
"HERVEO";"73";"347"
"HONDA";"73";"349"
"ICONONZO";"73";"352"
"LERIDA";"73";"408"
"LIBANO";"73";"411"
"MARIQUITA";"73";"443"
"MELGAR";"73";"449"
"MURILLO";"73";"461"
"NATAGAIMA";"73";"483"
"ORTEGA";"73";"504"
"PIEDRAS";"73";"547"
"PLANADAS";"73";"555"
"PRADO";"73";"563"
"PURIFICACION";"73";"585"
"RIOBLANCO";"73";"616"
"RONCESVALLES";"73";"622"
"ROVIRA";"73";"624"
"SALDAÑA";"73";"671"
"SAN ANTONIO";"73";"675"
"SAN LUIS";"73";"678"
"SANTA ISABEL";"73";"686"
"SUAREZ";"73";"770"
"VALLE DE SAN JUAN";"73";"854"
"VENADILLO";"73";"861"
"VILLAHERMOSA";"73";"870"
"VILLARRICA";"73";"873"
"PALOCABILDO";"73";"900"
"CALI";"76";"001"
"ALCALA";"76";"020"
"ANDALUCIA";"76";"036"
"ANSERMANUEVO";"76";"041"
"ARGELIA";"76";"054"
"BOLIVAR";"76";"100"
"BUENAVENTURA";"76";"109"
"BUGA";"76";"111"
"BUGALAGRANDE";"76";"113"
"CAICEDONIA";"76";"122"
"DARIEN-CALIMA";"76";"126"
"CANDELARIA";"76";"130"
"CARTAGO";"76";"147"
"DAGUA";"76";"233"
"EL AGUILA";"76";"243"
"EL CAIRO";"76";"246"
"EL CERRITO";"76";"248"
"TRINIDAD";"85";"430"
"VILLANUEVA";"85";"440"
"MOCOA";"86";"001"
"COLON";"86";"219"
"ORITO";"86";"320"
"PUERTO ASIS";"86";"568"
"PUERTO CAICEDO";"86";"569"
"PUERTO GUZMAN";"86";"571"
"PUERTO LEGUIZAMO";"86";"573"
"SIBUNDOY";"86";"749"
"SAN FRANCISCO";"86";"755"
"SAN MIGUEL";"86";"757"
"SANTIAGO";"86";"760"
"VALLE DEL GUAMEZ-HORMIGA";"86";"865"
"VILLAGARZON";"86";"885"
"SAN ANDRES";"88";"001"
"PROVIDENCIA";"88";"564"
"LETICIA";"91";"001"
"EL ENCANTO";"91";"263"
"LA CHORRERA";"91";"405"
"LA PEDRERA";"91";"407"
"MIRITI-PARANA";"91";"460"
"PUERTO NARIÑO";"91";"540"
"PTO SANTANDER";"91";"669"
"TARAPACA";"91";"798"
"INIRIDA";"94";"001"
"GUAVIARE-BARRANCO MINAS";"94";"343"
"SAN FELIPE";"94";"883"
"PUERTO COLOMBIA";"94";"884"
"GUADALUPE";"94";"885"
"CACAHUAL";"94";"886"
"PANA PANA";"94";"887"
"MORICHAL NUEVO";"94";"888"
"SAN JOSE DEL GUAVIARE";"95";"001"
"CALAMAR";"95";"015"
"EL RETORNO";"95";"025"
"MIRAFLORES";"95";"200"
"MITU";"97";"001"
"CARURU";"97";"161"
"PACOA";"97";"511"
"VILLA FATIMA";"97";"555"
"TARAIRA";"97";"666"
"PAPUNAHUA";"97";"777"
"ACARICUARA";"97";"888"
"YAVARATE";"97";"889"
"PUERTO CARREÑO";"99";"001"
"LA PRIMAVERA";"99";"524"
"SANTA RITA";"99";"572"
"SANTA ROSALIA";"99";"624"
"SAN JOSE DE OCUNE";"99";"760"
"CUMARIBO";"99";"773"
"EL CEJAL";"99";"999"
"NARIÑO";"52";"990"
"PUENTE ARANDA";"11";"016"
"CANDELARIA";"11";"017"
"RAFAEL URIBE";"11";"018"
"CIUDAD BOLIVAR";"11";"019"
"SUMAPAZ";"11";"020"
"USAQUEN";"11";"001"
"CHAPINERO";"11";"002"
"SANTA FE";"11";"003"
"SAN CRISTOBAL";"11";"004"
" USME";"11";"005"
"TUNJUELITO";"11";"006"
"BOSA";"11";"007"
"KENNEDY";"11";"008"
"FONTIBON";"11";"009"
"ENGATIVA";"11";"010"
"SUBA";"11";"011"
"BARRIOS UNIDOS";"11";"012"
"TEUSAQUILLO";"11";"013"
"MARTIRES";"11";"014"
"ANTONIO NARIÑO";"11";"015"
"OTRO";"00";"00"
